content,score,Label
travoloka paylater terus menurunkan limit tanpa sebab... lebih baik pinda ke plaffron penyedia layanan yang samaatau apapun sangat menyesal mengunakan travoloka pay later tidak jelas mekanismemya.....,1,Negatif
Dikurangi dulu bintangnya. Level sudah priority tapi limit naik sulit cape deh mbak traveloka,4,Positif
Aplikasi mudah dijalankan. tks,5,Positif
"traveloka sangat mempermudah semua keperluan pribdi saya, namun kenapa ya tidak bs di pakai di menu bayar saat trx paki qris ? mohon diberi penjelazan ya . sukses selalu traveloka🤩🤩",5,Positif
Terulang kesalahan tp pembayaran gampang lewat ATM kesalahan angka dan beli ataupun reschecedule prosesnya lama susah merugikan pelanggan terakhir ak pakai ini mending ganti lain dan terbayar dua kali hilang tanpa bekas dan di refund juga potongannya luar biasa amplikasi cepat kaya dongggg,2,Negatif
"Kecewa dengan traveloka. Perubahan jam penerbangan tidak diinfokan kalau maju dan tertinggal pesawat. Tidak ada sms, WA, atau email pemberitahuan. Untungnya masih ada flight selanjutnya.",1,Negatif
"Kurang puas dengan traveloka diakibatkan: 1. Ketika beli tiket bagasi dibuat 7 kg untuk kabin dan 20 kg, ternyata yg 20 kg tidak bisa digunakan. Padahal udah jelas2 tertera di e-ticketnya (ini sama saja dengan menipu customer) 2. Biaya tambahan seperti refund 100%?? Ini juga salah satu trik parah dan gak masuk akal. Seharusnya, beli tiket kalo udah dibeli ya refund itu bisa dilakukan (kecuali kalo customer datangnya telat) 3. Gak bisa pake kartu kredit BCA Card!! Padahal dulu bisa tanpa visa",2,Negatif
Aplikasi traveloka memang oke,5,Positif
"Traveloka sudah bangkrut kah..? sehingga playlater gak bisa pakai padahal pembayaran tepat waktu blm pernah telat, kalau dalam waktu 3 bulan ini tidak juga ada perbaikan dan masih gak bisa gunakan limit playlater lagi akan saya hapus app Traveloka ini",1,Negatif
dimudahkan dalam proses pemesanan,5,Positif
"Penerbangan di batalkan, terus re scedule pakai nambah biaya sendiri lagi... nyesel beli tiket pulang di sini, beresiko",1,Negatif
"3 menit nunggu, tapi aplikasi nya masih tidak terbuka. Super lelet sekali. Tolong di perbaiki",2,Negatif
Blm pernah pake Paylater uda di nonaktifkan,1,Negatif
"Adminya 24/7 gaes, sangat responsif",5,Positif
Beli tiket dg travelokq sgt mudah dan cepat,5,Positif
"2thn saya pake traveloka paylater, tp baru kali ini saya sangat kecewa, tiba tiba limit saya turun drastis dengan alasan pemakaian limit tidak sehat, padahal saya merasa tidak melanggar ketentuan dari traveloka, pembayaran pun selalu tepat waktu dan belum pernah sekalipun terlambat, tp skrg limit sy turun setengah nya, tidak bisa menggunakan virtual number dan QR di toko, jujur saya sangat kecewa.",1,Negatif
Halo Traveloka... Saya minta maaf sekali karena terpaksa memberikan bintang 1. Hal ini dikarenakan saya merasa sangat dirugikan sekali terkait dengan penggunaan paylater. Turun limit dan level saya karena dinilai telah menggunakan limit secara tidak sehat karena melampaui 75 %. Hal ini terkesan membuat saya merasa dipermainkan mengingat bahwa ada penjelasan bisa naik limit dan level dengan sering bertransaksi dan bayar tepat waktu. Bisakah pihak traveloka menghub saya lbh lanjut utk feedbck.Tx,1,Negatif
"Aku 2tahun ga pke traveloka sejak corona limit paylater gak pernah dikurangi. Pdhl jarang pake jg. Giliran ganti dari trinusa traveindo ke caturnusa sejahtera, uda nelpon tiba2 suruh bayar cepet2 pdhl masih jauh harinya, ga ramah pula kek deptcollector, limit tb2 diturunin hampir 3/4 dari limit sebelumnya. Ga mslh sebenernya, cm kecewa aja, pdhl akun lama bgt uda 5tahun lbh pke traveloka. Busuk!",2,Negatif
"Aplikasi tdk bisa dibuka, hanya gambar burung diam aja tdk bergerak. Semakin kesini malah makin kesana. Perbaiki dong",1,Negatif
Ga jelasss buangetttt !!!!!! Lagiii mw dipkee belanjaa alasan keamanann aja truss .. ga niat kasih limit ga usah kasih limit lahhh.. Gila aaa disamain samaa orng yg suka nunggak padahal p3mbayaran ok ishhh gakkk bgt dsniii lancaran dsebelah ga bnyak curiga satset lmit besar pula !,1,Negatif
"ada event promosi,, giliran ngikutin trus mau mundur, uang yg udah di top up dan didapat dari hasil even gak bisa diambil,, penipuan banget",1,Negatif
Gak kebuka sama Sekali appsnya,1,Negatif
Sangat Membantu,5,Positif
Penilaian yang tidak masuk akal dalam menentukan level paylater. Padahal bayar selalu tepat waktu dan tidak pernah telat. Level penggunaan pun dikatakan SEHAT. Tapi level akun malah turun. Kecewa sekali! Tidak rekomendasi lagi sudah.,1,Negatif
Sangat memuaskan,5,Positif
Sungguh membantu memudahkan bagi yg membutuhkan referensi tempat menginap dalam perjalanan. Terima kasih,5,Positif
Terserah anda lah mau turunkan level jg GPP...yg penting saya amanah tetap bayar tepat waktu tanpa keterlambatan Untuk PT caturnusa sekedar saran saja jgn memandang konsumen dengan sebelah mata....belum tentu yg anda beri limit tinggi bisa amanah... yg terpenting adalah track recordnya. Gak pernah terlambat bayar yg seharusnya adalah prioritas,1,Negatif
"Refund sudah setuju notif 1x24 jam ternyata jadi 2x24 jam, udah 14 hari tapi belum di tf dana refundnya, ga rekom sih untuj refund slow respon juga adminnya",1,Negatif
setuju deh mempermudahkan kita semua,4,Positif
Parah traveloka..baru mau masukan nama nya aja harga langsung berubah..loading nya lambat lagi ganti ke app lain aja diskon nya gak ada promonya pun gak ada lagi. Karena lagi daerah konflik ya?,1,Negatif
pesanan tiket via traveloka mantap👍,4,Positif
sangat sangat membantu dalam bepergian👍,5,Positif
Sangat membantu. Pertahankan utk terus berupaya menjadi yg terbaik.,5,Positif
Pelayanan Traveloka tampaknya semakin baik,5,Positif
Sistem kerjanya lama,1,Negatif
Masa sejenis aplikasi kek kalian gak bisa kembalikan uang refun sdh 1 bulan tdak ada pengembalian pdahal yang salah kalen sendiri pake waktu segala dan nominal harga harus sesuai,1,Negatif
"kenapa jadi kek gini sih traveloka, gak efisien banget 😢 plin plan banget jadi aplikasi. kemaren udah terdaftar skrang suruh daftar lagi. aneh deh",1,Negatif
Terus tingkat layanannya,5,Positif
kereeen dan tingkatkan lagi pelayanannya.sangat membantu kami memudahkan transaksi yang dibutuhkan.terima kasih traveloka,5,Positif
"Baru pertama pakai ga bisa refund kamar hotel penuh ga jadi menginap, uang ga kembali",1,Negatif
Update terus virtual number tetep gak bisa di pakai yaa belum berubah lah segini aja dulu bintangnya,1,Negatif
"Setelah penggunaan 1 bulan, rating saya turunkan. Saya mendapat notifikasi penurunan level paylater dan pemakaian limit tidak sehat karena penggunaan limit diatas 80%. Sampai saat ini telah di bayar kan cicilan paylater sampai 3 bulan ke depan (yang belum jatuh tempo) supaya bisa mengembalikan skore dan juga pemakaian limit yang sehat sesuai arahan di aplikasi. Namun skore dan juga pekaian limit tetap tidak berubah. Berbicara dengan agen chat aplikasi pun hanya mendapatkan jawaban 'TEMPLATE'",1,Negatif
"Saya mempunyai pengalaman yang tidak enak terkait refund: Refund yang saya ajukan dengan alasan penerbangan dibatalkan oleh maskapai, TAPI diproses dan dicairkan dengan alasan pembatalan oleh penumpang (berarti dikembalikan lebih kecil). Dari segi waktu juga begitu, kalau aplikasi sebelah proses cair cuma 2 hari, ini saya sudah 17 hari. Saya sudah komplain via chat, tapi disuruh menunggu, kemudian diperpanjang lagi disuruh menunggu",1,Negatif
"memudahkan memesan tiket apapun, sangat terbantu dengan Traveloka tiket, terimakasih 🙏🥰",5,Positif
sangat membantu sekali👍,5,Positif
Sangat Meresahkan Udah Di Uninstall Masih Ada Iklan. Tolong Min Iklan Nya Di Hilangkan.!!!,1,Negatif
dri bintang 3 turun ke 1 karena ga bisa refund + reschedule,1,Negatif
"Kecewa !! Selama ini pembayaran paylater tidak ada masalah selalu sebelum jatuh tempo sudah bayar dan tidak pernah telat sama sekali dari awal join hingga skrng,, tapi kenapa tiba tiba paylater di non aktifkan ???",1,Negatif
mudah dan simple,5,Positif
asuransi nya mahal,1,Negatif
Memudahkan saya untuk mencari hotel dan tempat liburan yg cozy,5,Positif
"Kenapa travelok gk bisa di buka/eror,saya pengguna lama kecewa sama apk traveloka",1,Negatif
Sangat membantu perjalanan saya yang suka traveling,5,Positif
Kesel biasanya bisa pake VA traveloka skrg gak bisa padahal pembayaran lancar tanpa kendala,1,Negatif
"Kenapa ya aplikasinya sekarang serasa berat dan lelet banget buka aplikasi atau milih pilihan di menu lelet banget sumpah, tolong di perbaiki, masa lambat banget kinerja aplikasinya, kan perusahaan besar kalian",5,Positif
"Min, koq saya ga bisa pake paylater lagi yaa padahal statusnya udh lunas tpi di dasbord paylaternya masih ada limit yg bisa dipake..",2,Negatif
Kenapa mau pesan tiket pesawat sulit sekali padahal poin ku sudah banyak,1,Negatif
"Update terus ni aplikasi, makin lama makin gak bagus.... kenapa tiap mau upgrade hp saya jadi erorr kenapa coba?",1,Negatif
Hai traveloka terima kasih udah membuat aplikasi ini saya sangat bangga ketika baru pertama kali memakai nya saya nyaman banget di aplikasi ini terima kasih ya udah membuat aplikasi traveloka,5,Positif
Waktunya pindah ke apk sebelah. Promo sudah gak jelas di sini. Terimakasih buat selama ini.,1,Negatif
Percuma dikasih limit paylater tapi gbs digunakan buat offline dan online...cuma bisa digunakan untuk pembayaran di traveloka aja...kn gk semua orang pengen jalan2 terus...jelek lah makin kesini,1,Negatif
"- ⭐ ( minus bintang). Tidak bisa mengembalikan dana sesuai janji karen pembatalan dari lion. Lion dan trevaloka sama sama bohong. Saya belum menerima semua uang pemesanan tiket saya. Saya mau sesuai dengan perjanjian pihak maskapai lion saat d batam dan saat saya sampai di kualanamu medan, uang tiket saya dari medan ke lhoksemawe dikembalikan semua tanpa pemotongan dan syarat lain, karena maspakai lion grup yg membatalkan penerbangan dikarenakan telat terbang dari batam",1,Negatif
Mau berpergian kemana aja jadi mudah.,5,Positif
"Males sama Traveloka, masa dengan penginapan yg sama tgl sama harga saya dengan istri beda jauh bgt..kacau",1,Negatif
aplikasi nya mudah digunakan. suksess selalu utk Traveloka.,5,Positif
"Selalu trbaik dalam menjadi patner ketika kami berpergian, dan respon nya juga sngat trbaik, pengalaman sy waktu menginap sempat ada kesalahan dr pihak hotel. Langsung di selesaikan dgn baik oleh trveloka... Trimakasih sdh 7 tahun ini menemani...",5,Positif
kemarin berangkat dan sampai tujuan tepat waktu,4,Positif
"Solusi traveling tanpa pusing, bisa booking hotel dari jauh-jauh hari. Bisa merencanakan liburan kapan saja dan dimana saja. Sangat membantu sekali dan pilihan pembayarannya beragam ada paylatter kalau sudah di aktivasi dan virtual account.",5,Positif
kok aku buka aplikasi nya tapi gak bisa masuk gimana nih,1,Negatif
"Traveloka memudahkan saya untuk memesan tiket saat bepergian. Baik tiket pesawat, kereta api, bahkan untuk penginapan seprti hotel. Semoga traveloka sellu berkembang kedepannya",5,Positif
Tiap jam update,3,Netral
"aneh, apk nya ga bisa dijalankan, dan selalu ada keterangan hlaman yg anda lihat mungkin bukan versi terbaru. padahal udh di update",1,Negatif
"3 tahun refund ga di proses , aplikasi penipu",1,Negatif
Sanga sangat dapat dipercaya...,5,Positif
Tempat Kami Beli Tiket Tanpa Tipu2 👍👍👍👍👍👍👍,5,Positif
Mau booking tiket jawab nya sistem terganggu terus,1,Negatif
Apa bisa di dukung tidak ada penipuan terimakasih,5,Positif
Update terus 1 bulan bisa 3x,2,Negatif
Tidak ada menu pilih kursi,1,Negatif
Mantap.... trimakasih traveloka.,5,Positif
sangat tidak merekomendasikan .. lebih. baik di plaffron lain castemer servis jga boot semua... susah untk komplain hawaban tidak sesuai,1,Negatif
Traveloka si paling membantu saat mau traveling.. dg rencana atau saat dadakan skalipun,5,Positif
cepat dan mantap,5,Positif
Aplikasi yang sangat membantu untuk perihal ticketing.,5,Positif
Kenapa sudah 2hari ini aplikasi tidak bisa di gunakan selalu Maslah koneksi padahal internet setbil,3,Netral
Sangat senang dgn pelayanan ap lgi pas ad kendala costumer servis sngat membantu dn ramah 😍😍😍,5,Positif
Pelayanan paylater gk ramah..kyk pinjol.. tidak sopan.. gk perlu Adain paylater klo sistem Kalian sama kyk pinjol...,1,Negatif
"kalo sudah tidak ada kerja sama dengan hotel tolong dihapus hotel dari aplikasi, refund juga sudah tidak bisa. aplikasi sampah",1,Negatif
"aplikasi nya mantap , kalau mau refund proses nya cepat",5,Positif
jelek bgtt sih aplikasinya,1,Negatif
sangat membantu,5,Positif
pelayanan cepat,5,Positif
Lebih mudah dan praktis menggunakan traveloka kemana pun dan kapan pun,5,Positif
Kok ga bisa dibuka ya aplikasinya,5,Positif
"Reschedule ga bisa, reofund ga bisa. Apapun pastinsitin lagi perbaikan . Scammer",1,Negatif
Tidak tersedia nomor kontak yang dapat dihubungi ketika pelanggan benar-benar mengalami kesulitan. Hanya chat boot dan live chat yang slow respon yang tersedia,1,Negatif
pemesanan mudah dan banyak promo nya,5,Positif
